survey_var,evioni_var,description,test,values,notes
CPW_A.status,CPW.status,Status Code Assigned to CPW,Penn Word Memory Test,C; C1; C2; C3; I; I1; I2; I3; T;,C = Complete; C1 = Complete Good Quality Data; C2 = Complete Questionable Data; C3 = Complete Bad Data; I = Incomplete; I1 = Incomplete Good Quality Data; I2 = Incomplete Questionable Data; I3 = Complete Bad Data; 
CPW_A.valid_code,CPW.valid_code,Automated Validaton Code Assigned,Penn Word Memory Test,VC; V; F; 0; S; N; C; X; ,"VC = Computer Validated; V = Valid; F = Valid, problem occurred which affected performance, for a limited number of responses/mild to moderate effect; 0 = No autovalidation rule available;  S=Skipped; N=Not Valid; C = Assessor Comment; X = Excluded"
CPW_A.CPW_TP,CPW.CPWTP,CPW True Positive Responses,Penn Word Memory Test,,
CPW_A.CPW_TN,CPW.CPWTN,CPW True Negative Responses,Penn Word Memory Test,,
CPW_A.CPW_FP,CPW.CPWFP,CPW False Positive Responses,Penn Word Memory Test,,
CPW_A.CPW_FN,CPW.CPWFN,CPW False Negative Responses,Penn Word Memory Test,,
CPW_A.CPW_TPRT,CPW.CPWTPRT,Median Response Time for CPW True Positive Responses (ms),Penn Word Memory Test,,
CPW_A.CPW_TNRT,CPW.CPWTNRT,Median Response Time for CPW True Negative Responses (ms),Penn Word Memory Test,,
CPW_A.CPW_FPRT,CPW.CPWFPRT,Median Response Time for CPW False Positive Responses (ms),Penn Word Memory Test,,
CPW_A.CPW_FNRT,CPW.CPWFNRT,Median Response Time for CPW False Negative Responses (ms),Penn Word Memory Test,,
CPW_A.CPW_CR,CPW.IWRD_TOT,CPW Total Correct Responses,Penn Word Memory Test,,
CPW_A.CPW_W_RTCR,CPW.IWRD_RTC,Weighted Median Response Time for Correct Responses (ms),Penn Word Memory Test,,
CPW_A.CPW_RTCR,,Median Response Time for CPW Total Correct Responses (ms),Penn Word Memory Test,,
CPW_A.CPW_ER,,Total Incorrect Responses,Penn Word Memory Test,,
CPW_A.CPW_RTER,,Median Response Time for Incorrect Responses (ms),Penn Word Memory Test,,
CPW_A.CPW_W_RTER,,Weighted Median Response Time for Incorrect Responses (ms),Penn Word Memory Test,,
CPW_A.CPW_RT,,Median Response Time for All Responses (ms),Penn Word Memory Test,,
CPW_A.CPW_DY,,Total Definitely Yes Responses,Penn Word Memory Test,,
CPW_A.CPW_DN,,Total Definitely No Responses,Penn Word Memory Test,,
CPW_A.CPW_PY,,Total Probably Yes Responses,Penn Word Memory Test,,
CPW_A.CPW_PN,,Total Probably No Responses,Penn Word Memory Test,,
CPW_A.CPW_DTP,,Total Definitely True Positive Responses,Penn Word Memory Test,,
CPW_A.CPW_PTP,,Total Probably True Positive Responses,Penn Word Memory Test,,
CPW_A.CPW_DTN,,Total Definitely True Negative Responses,Penn Word Memory Test,,
CPW_A.CPW_PTN,,Total Probably True Negative Responses,Penn Word Memory Test,,
CPW_A.CPW_DFP,,Total Definitely False Positive Responses,Penn Word Memory Test,,
CPW_A.CPW_PFP,,Total Probably False Positive Responses,Penn Word Memory Test,,
CPW_A.CPW_DFN,,Total Definitely False Negative Responses,Penn Word Memory Test,,
CPW_A.CPW_PFN,,Total Probably False Negative Responses,Penn Word Memory Test,,
CPW_A.CPW_EFF,,CPW_A VOLT Efficiency ,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000001_RESP,CPW.q1_resp,Response for trial 1,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000001_TTR,CPW.q1_ttr,Time to respond (ms) for trial 1,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000001_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000001_QID,,Question ID for Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000001_CORR,CPW.q1_corr,Response correct for trial 1,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000002_RESP,CPW.q2_resp,Response for trial 2,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000002_TTR,CPW.q2_ttr,Time to respond (ms) for trial 2,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000002_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000002_QID,,Question ID for Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000002_CORR,CPW.q2_corr,Response correct for trial 2,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000003_RESP,CPW.q3_resp,Response for trial 3,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000003_TTR,CPW.q3_ttr,Time to respond (ms) for trial 3,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000003_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000003_QID,,Question ID for Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000003_CORR,CPW.q3_corr,Response correct for trial 3,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000004_RESP,CPW.q4_resp,Response for trial 4,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000004_TTR,CPW.q4_ttr,Time to respond (ms) for trial 4,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000004_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000004_QID,,Question ID for Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000004_CORR,CPW.q4_corr,Response correct for trial 4,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000005_RESP,CPW.q5_resp,Response for trial 5,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000005_TTR,CPW.q5_ttr,Time to respond (ms) for trial 5,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000005_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000005_QID,,Question ID for Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000005_CORR,CPW.q5_corr,Response correct for trial 5,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000006_RESP,CPW.q6_resp,Response for trial 6,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000006_TTR,CPW.q6_ttr,Time to respond (ms) for trial 6,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000006_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000006_QID,,Question ID for Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000006_CORR,CPW.q6_corr,Response correct for trial 6,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000007_RESP,CPW.q7_resp,Response for trial 7,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000007_TTR,CPW.q7_ttr,Time to respond (ms) for trial 7,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000007_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000007_QID,,Question ID for Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000007_CORR,CPW.q7_corr,Response correct for trial 7,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000008_RESP,CPW.q8_resp,Response for trial 8,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000008_TTR,CPW.q8_ttr,Time to respond (ms) for trial 8,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000008_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000008_QID,,Question ID for Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000008_CORR,CPW.q8_corr,Response correct for trial 8,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000009_RESP,CPW.q9_resp,Response for trial 9,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000009_TTR,CPW.q9_ttr,Time to respond (ms) for trial 9,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000009_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000009_QID,,Question ID for Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000009_CORR,CPW.q9_corr,Response correct for trial 9,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000010_RESP,CPW.q10_resp,Response for trial 10,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000010_TTR,CPW.q10_ttr,Time to respond (ms) for trial 10,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000010_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000010_QID,,Question ID for Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000010_CORR,CPW.q10_corr,Response correct for trial 10,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000011_RESP,CPW.q11_resp,Response for trial 11,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000011_TTR,CPW.q11_ttr,Time to respond (ms) for trial 11,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000011_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000011_QID,,Question ID for Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000011_CORR,CPW.q11_corr,Response correct for trial 11,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000012_RESP,CPW.q12_resp,Response for trial 12,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000012_TTR,CPW.q12_ttr,Time to respond (ms) for trial 12,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000012_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000012_QID,,Question ID for Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000012_CORR,CPW.q12_corr,Response correct for trial 12,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000013_RESP,CPW.q13_resp,Response for trial 13,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000013_TTR,CPW.q13_ttr,Time to respond (ms) for trial 13,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000013_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000013_QID,,Question ID for Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000013_CORR,CPW.q13_corr,Response correct for trial 13,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000014_RESP,CPW.q14_resp,Response for trial 14,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000014_TTR,CPW.q14_ttr,Time to respond (ms) for trial 14,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000014_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000014_QID,,Question ID for Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000014_CORR,CPW.q14_corr,Response correct for trial 14,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000015_RESP,CPW.q15_resp,Response for trial 15,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000015_TTR,CPW.q15_ttr,Time to respond (ms) for trial 15,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000015_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000015_QID,,Question ID for Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000015_CORR,CPW.q15_corr,Response correct for trial 15,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000016_RESP,CPW.q16_resp,Response for trial 16,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000016_TTR,CPW.q16_ttr,Time to respond (ms) for trial 16,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000016_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000016_QID,,Question ID for Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000016_CORR,CPW.q16_corr,Response correct for trial 16,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000017_RESP,CPW.q17_resp,Response for trial 17,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000017_TTR,CPW.q17_ttr,Time to respond (ms) for trial 17,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000017_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000017_QID,,Question ID for Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000017_CORR,CPW.q17_corr,Response correct for trial 17,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000018_RESP,CPW.q18_resp,Response for trial 18,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000018_TTR,CPW.q18_ttr,Time to respond (ms) for trial 18,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000018_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000018_QID,,Question ID for Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000018_CORR,CPW.q18_corr,Response correct for trial 18,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000019_RESP,CPW.q19_resp,Response for trial 19,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000019_TTR,CPW.q19_ttr,Time to respond (ms) for trial 19,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000019_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000019_QID,,Question ID for Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000019_CORR,CPW.q19_corr,Response correct for trial 19,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000020_RESP,CPW.q20_resp,Response for trial 20,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000020_TTR,CPW.q20_ttr,Time to respond (ms) for trial 20,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000020_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000020_QID,,Question ID for Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000020_CORR,CPW.q20_corr,Response correct for trial 20,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000021_RESP,CPW.q21_resp,Response for trial 21,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000021_TTR,CPW.q21_ttr,Time to respond (ms) for trial 21,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000021_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000021_QID,,Question ID for Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000021_CORR,CPW.q21_corr,Response correct for trial 21,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000022_RESP,CPW.q22_resp,Response for trial 22,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000022_TTR,CPW.q22_ttr,Time to respond (ms) for trial 22,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000022_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000022_QID,,Question ID for Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000022_CORR,CPW.q22_corr,Response correct for trial 22,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000023_RESP,CPW.q23_resp,Response for trial 23,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000023_TTR,CPW.q23_ttr,Time to respond (ms) for trial 23,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000023_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000023_QID,,Question ID for Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000023_CORR,CPW.q23_corr,Response correct for trial 23,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000024_RESP,CPW.q24_resp,Response for trial 24,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000024_TTR,CPW.q24_ttr,Time to respond (ms) for trial 24,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000024_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000024_QID,,Question ID for Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000024_CORR,CPW.q24_corr,Response correct for trial 24,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000025_RESP,CPW.q25_resp,Response for trial 25,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000025_TTR,CPW.q25_ttr,Time to respond (ms) for trial 25,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000025_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000025_QID,,Question ID for Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000025_CORR,CPW.q25_corr,Response correct for trial 25,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000026_RESP,CPW.q26_resp,Response for trial 26,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000026_TTR,CPW.q26_ttr,Time to respond (ms) for trial 26,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000026_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000026_QID,,Question ID for Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000026_CORR,CPW.q26_corr,Response correct for trial 26,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000027_RESP,CPW.q27_resp,Response for trial 27,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000027_TTR,CPW.q27_ttr,Time to respond (ms) for trial 27,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000027_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000027_QID,,Question ID for Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000027_CORR,CPW.q27_corr,Response correct for trial 27,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000028_RESP,CPW.q28_resp,Response for trial 28,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000028_TTR,CPW.q28_ttr,Time to respond (ms) for trial 28,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000028_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000028_QID,,Question ID for Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000028_CORR,CPW.q28_corr,Response correct for trial 28,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000029_RESP,CPW.q29_resp,Response for trial 29,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000029_TTR,CPW.q29_ttr,Time to respond (ms) for trial 29,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000029_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000029_QID,,Question ID for Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000029_CORR,CPW.q29_corr,Response correct for trial 29,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000030_RESP,CPW.q30_resp,Response for trial 30,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000030_TTR,CPW.q30_ttr,Time to respond (ms) for trial 30,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000030_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000030_QID,,Question ID for Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000030_CORR,CPW.q30_corr,Response correct for trial 30,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000031_RESP,CPW.q31_resp,Response for trial 31,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000031_TTR,CPW.q31_ttr,Time to respond (ms) for trial 31,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000031_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000031_QID,,Question ID for Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000031_CORR,CPW.q31_corr,Response correct for trial 31,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000032_RESP,CPW.q32_resp,Response for trial 32,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000032_TTR,CPW.q32_ttr,Time to respond (ms) for trial 32,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000032_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000032_QID,,Question ID for Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000032_CORR,CPW.q32_corr,Response correct for trial 32,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000033_RESP,CPW.q33_resp,Response for trial 33,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000033_TTR,CPW.q33_ttr,Time to respond (ms) for trial 33,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000033_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000033_QID,,Question ID for Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000033_CORR,CPW.q33_corr,Response correct for trial 33,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000034_RESP,CPW.q34_resp,Response for trial 34,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000034_TTR,CPW.q34_ttr,Time to respond (ms) for trial 34,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000034_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000034_QID,,Question ID for Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000034_CORR,CPW.q34_corr,Response correct for trial 34,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000035_RESP,CPW.q35_resp,Response for trial 35,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000035_TTR,CPW.q35_ttr,Time to respond (ms) for trial 35,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000035_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000035_QID,,Question ID for Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000035_CORR,CPW.q35_corr,Response correct for trial 35,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000036_RESP,CPW.q36_resp,Response for trial 36,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000036_TTR,CPW.q36_ttr,Time to respond (ms) for trial 36,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000036_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000036_QID,,Question ID for Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000036_CORR,CPW.q36_corr,Response correct for trial 36,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000037_RESP,CPW.q37_resp,Response for trial 37,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000037_TTR,CPW.q37_ttr,Time to respond (ms) for trial 37,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000037_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000037_QID,,Question ID for Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000037_CORR,CPW.q37_corr,Response correct for trial 37,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000038_RESP,CPW.q38_resp,Response for trial 38,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000038_TTR,CPW.q38_ttr,Time to respond (ms) for trial 38,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000038_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000038_QID,,Question ID for Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000038_CORR,CPW.q38_corr,Response correct for trial 38,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000039_RESP,CPW.q39_resp,Response for trial 39,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000039_TTR,CPW.q39_ttr,Time to respond (ms) for trial 39,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000039_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000039_QID,,Question ID for Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000039_CORR,CPW.q39_corr,Response correct for trial 39,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000040_RESP,CPW.q40_resp,Response for trial 40,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000040_TTR,CPW.q40_ttr,Time to respond (ms) for trial 40,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000040_TRIAL,,Trial Order of Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000040_QID,,Question ID for Stimuli Presented,Penn Word Memory Test,,
CPW_A.CPW_TRIAL000040_CORR,CPW.q40_corr,Response correct for trial 40,Penn Word Memory Test,,
CPWD_A.ScorVers,CPWD,Current Programming Version of the Scoring Code,Penn Word Memory Test - Delayed Version,,
CPWD_A.status,CPWD.status,Status Code Assigned to CPWD,Penn Word Memory Test - Delayed Version,C; C1; C2; C3; I; I1; I2; I3; T;,C = Complete; C1 = Complete Good Quality Data; C2 = Complete Questionable Data; C3 = Complete Bad Data; I = Incomplete; I1 = Incomplete Good Quality Data; I2 = Incomplete Questionable Data; I3 = Complete Bad Data; 
CPWD_A.valid_code,CPWD.valid_code,Automated Validaton Code Assigned,Penn Word Memory Test - Delayed Version,VC; V; F; 0; S; N; C; X; ,"VC = Computer Validated; V = Valid; F = Valid, problem occurred which affected performance, for a limited number of responses/mild to moderate effect; 0 = No autovalidation rule available;  S=Skipped; N=Not Valid; C = Assessor Comment; X = Excluded"
CPWD_A.CPWD_TP,CPWD.CPWDTP,CPWD True Positive Responses,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TN,CPWD.CPWDTN,CPWD True Negative Responses,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_FP,CPWD.CPWDFP,CPWD False Positive Responses,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_FN,CPWD.CPWDFN,CPWD False Negative Responses,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TPRT,CPWD.CPWDTPRT,Median Response Time for CPWD True Positive Responses (ms),Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TNRT,CPWD.CPWDTNRT,Median Response Time for CPWD True Negative Responses (ms),Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_FPRT,CPWD.CPWDFPRT,Median Response Time for CPWD False Positive Responses (ms),Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_FNRT,CPWD.CPWDFNRT,Median Response Time for CPWD False Negative Responses (ms),Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_CR,CPWD.DWRD_TOT,CPWD Total Correct Responses,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_RTCR,CPWD.DWRD_RTC,Median Response Time for CPWD Total Correct Responses (ms),Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_W_RTCR,,Weighted Median Response Time for Correct Responses (ms),Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_ER,,Total Incorrect Responses,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_RTER,,Median Response Time for Incorrect Responses (ms),Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_W_RTER,,Weighted Median Response Time for Incorrect Responses (ms),Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_RT,,Median Response Time for All Responses (ms),Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000001_RESP,CPWD.q1_resp,Response for trial 1,Penn Word Memory Test - Delayed Version,,
CPWD_A.CPWD_TRIAL000001_TTR,CPWD.q1_ttr,Time to respond (ms) for trial 1,Penn Word Memory Test - Delayed Version,,
